#OTU ID	1xHFWxCD	2xHFWxHFD	3xHFWxCD	4xHFWxHFD	5xHFWxCD	6xHFWxHFD	7xHFWxCD	8xHFWxHFD	9xHFWxCD	10xHFWxHFD	11xHFWxHFD	12xHFWxCD	13xSPFxCD	14xSPFxCD	15xSPFxCD	16xSPFxCD	17xSPFxCD	18xSPFxCD	19xSPFxHFD	20xSPFxHFD	21xSPFxHFD	22xSPFxHFD	23xSPFxHFD	24xSPFxHFD
Zotu318	0	1	0	1	1	3	0	12	0	12	4	19	0	0	0	1	0	1	0	10	0	0	10	0
Zotu329	0	1	0	2	5	0	0	0	4	9	6	2	2	7	15	12	5	5	0	1	1	0	3	0
Zotu258	0	2	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	106	1	0	41	2
Zotu341	0	2	0	15	0	14	0	10	1	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0
Zotu275	0	1	4	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	4	85	1	3	37	1
Zotu50	0	1	0	1	0	0	0	0	0	0	0	0	0	98	141	39	180	0	57	543	336	385	360	806
Zotu27	0	1	0	1	0	0	0	1	0	1	1	0	311	1	351	449	374	283	1040	202	598	221	213	460
Zotu367	0	0	20	0	4	0	8	0	3	0	0	3	2	1	0	0	1	0	0	0	0	0	0	0
Zotu257	0	0	26	1	81	0	0	0	0	0	3	2	1	12	13	4	2	10	0	2	0	0	0	1
Zotu325	0	0	1	0	6	0	5	1	0	0	0	0	6	1	0	0	0	2	0	7	2	3	5	8
Zotu328	0	0	12	0	1	0	0	0	0	1	5	0	4	2	2	1	2	1	4	3	2	3	5	1
Zotu365	0	0	3	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu302	0	0	1	0	0	0	0	0	0	2	2	0	12	5	7	1	12	9	2	16	4	5	10	11
Zotu291	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17	6	4	4	47
Zotu368	0	0	0	0	3	0	0	0	1	5	1	2	4	2	2	4	4	2	0	0	1	0	1	0
Zotu314	0	0	0	0	1	0	0	0	58	0	0	32	7	0	4	1	0	12	0	0	0	0	0	0
Zotu372	0	0	0	0	2	1	1	0	0	1	0	1	3	0	0	0	8	1	0	0	0	2	0	3
Zotu308	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	14	0	30	38	1	0
Zotu343	0	0	0	0	0	0	0	1	0	27	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu309	0	0	0	0	0	0	0	0	48	0	0	18	4	2	7	1	0	20	0	0	0	0	0	0
Zotu307	0	0	0	0	0	0	0	0	52	0	0	17	7	1	3	0	0	11	0	0	0	0	0	0
Zotu224	0	0	0	0	0	0	0	0	86	30	19	44	0	0	0	0	0	0	0	0	0	0	0	0
Zotu301	0	0	0	0	0	0	0	0	57	0	0	30	3	1	2	2	1	13	0	0	0	0	0	0
Zotu223	0	0	0	0	0	0	0	0	1	1	0	0	127	49	9	43	270	19	0	1	0	0	0	0
Zotu79	0	0	0	0	0	0	0	0	2	0	2	0	0	52	82	21	93	0	38	295	205	214	209	502
Zotu361	0	0	0	0	0	0	0	0	6	10	14	12	0	0	0	0	0	0	0	0	0	0	0	0
Zotu248	0	0	0	0	0	0	0	0	0	46	96	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu303	0	0	0	0	0	0	0	0	0	33	33	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu122	0	0	0	0	0	0	0	0	0	0	1	0	24	2	0	0	0	0	0	354	1	1	364	2
Zotu96	0	0	0	0	0	0	0	0	0	0	0	0	76	3	65	28	56	74	106	145	125	163	176	113
Zotu353	0	0	0	0	0	0	0	0	0	0	0	0	5	7	2	6	20	1	0	0	0	0	0	0
Zotu254	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	58	0	0	63	0
Zotu362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	14
