Zotu74	d:Fungi(1.0000),p:Ascomycota(0.7100),c:Saccharomycetes(0.2840),o:Saccharomycetales(0.1136),f:Metschnikowiaceae(0.0409),g:Metschnikowia(0.0147),s:Metschnikowia_lochheadii_SH3313669.08FU(0.0018)	+	d:Fungi
Zotu75	d:Fungi(1.0000),p:Ascomycota(0.8000),c:Saccharomycetes(0.5680),o:Saccharomycetales(0.4033),f:Metschnikowiaceae(0.2742),g:Metschnikowia(0.1865),s:Metschnikowia_borealis_SH3313675.08FU(0.0410)	+	d:Fungi,p:Ascomycota
Zotu76	d:Fungi(1.0000),p:Ascomycota(0.6400),c:Xylonomycetes(0.0832),o:Symbiotaphrinales(0.0108),f:Symbiotaphrinaceae(0.0014),g:Symbiotaphrina(0.0002),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0000)	+	d:Fungi
Zotu77	d:Fungi(1.0000),p:Ascomycota(0.8200),c:Leotiomycetes(0.1394),o:Helotiales(0.0237),f:Myxotrichaceae(0.0040),g:Oidiodendron(0.0007)	+	d:Fungi,p:Ascomycota
Zotu78	d:Fungi(1.0000),p:Ascomycota(0.8100),c:Xylonomycetes(0.2025),o:Symbiotaphrinales(0.0506),f:Symbiotaphrinaceae(0.0127),g:Symbiotaphrina(0.0032),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0008)	+	d:Fungi,p:Ascomycota
Zotu79	d:Fungi(1.0000),p:Ascomycota(0.6200),c:Xylonomycetes(0.0682),o:Symbiotaphrinales(0.0075),f:Symbiotaphrinaceae(0.0008),g:Symbiotaphrina(0.0001),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0000)	+	d:Fungi
Zotu80	d:Fungi(1.0000),p:Ascomycota(0.6500),c:Saccharomycetes(0.2210),o:Saccharomycetales(0.0751),f:Metschnikowiaceae(0.0218),g:Metschnikowia(0.0063)	+	d:Fungi
Zotu81	d:Fungi(1.0000),p:Ascomycota(0.6700),c:Saccharomycetes(0.2345),o:Saccharomycetales(0.0821),f:Metschnikowiaceae(0.0263),g:Metschnikowia(0.0084)	+	d:Fungi
Zotu82	d:Fungi(1.0000),p:Basidiomycota(0.3000),c:Ustilaginomycetes(0.0360),o:Ustilaginales(0.0043),f:Ustilaginaceae(0.0005),g:Pseudozyma(0.0001)	+	d:Fungi
Zotu83	d:Fungi(1.0000),p:Basidiomycota(0.3100),c:Ustilaginomycetes(0.0310),o:Ustilaginales(0.0031),f:Ustilaginaceae(0.0003),g:Pseudozyma(0.0000)	+	d:Fungi
Zotu84	d:Fungi(1.0000),p:Ascomycota(0.7400),c:Leotiomycetes(0.0888),o:Helotiales(0.0107),f:Myxotrichaceae(0.0013),g:Oidiodendron(0.0002)	+	d:Fungi
Zotu85	d:Fungi(1.0000),p:Ascomycota(0.6400),c:Saccharomycetes(0.2048),o:Saccharomycetales(0.0655),f:Metschnikowiaceae(0.0203),g:Metschnikowia(0.0063)	+	d:Fungi
Zotu86	d:Fungi(1.0000),p:Ascomycota(0.6900),c:Saccharomycetes(0.3036),o:Saccharomycetales(0.1336),f:Metschnikowiaceae(0.0574),g:Metschnikowia(0.0247)	+	d:Fungi
Zotu87	d:Fungi(1.0000),p:Ascomycota(0.5400),c:Leotiomycetes(0.0702),o:Helotiales(0.0077),f:Myxotrichaceae(0.0006),g:Oidiodendron(0.0000)	+	d:Fungi
Zotu88	d:Fungi(1.0000),p:Ascomycota(0.6900),c:Saccharomycetes(0.2967),o:Saccharomycetales(0.1276),f:Metschnikowiaceae(0.0523),g:Metschnikowia(0.0214)	+	d:Fungi
Zotu89	d:Fungi(1.0000),p:Ascomycota(0.7100),c:Saccharomycetes(0.3408),o:Saccharomycetales(0.1636),f:Metschnikowiaceae(0.0736),g:Metschnikowia(0.0331),s:Metschnikowia_lochheadii_SH3313669.08FU(0.0043)	+	d:Fungi
Zotu90	d:Fungi(1.0000),p:Ascomycota(0.6500),c:Saccharomycetes(0.2275),o:Saccharomycetales(0.0796),f:Metschnikowiaceae(0.0263),g:Metschnikowia(0.0087)	+	d:Fungi
Zotu91	d:Fungi(1.0000),p:Ascomycota(0.6900),c:Saccharomycetes(0.2691),o:Saccharomycetales(0.1049),f:Metschnikowiaceae(0.0399),g:Metschnikowia(0.0152),s:Metschnikowia_lochheadii_SH3313669.08FU(0.0026)	+	d:Fungi
Zotu92	d:Fungi(1.0000),p:Ascomycota(0.6700),c:Leotiomycetes(0.0938),o:Helotiales(0.0122),f:Myxotrichaceae(0.0016),g:Oidiodendron(0.0002)	+	d:Fungi
Zotu93	d:Fungi(1.0000),p:Ascomycota(0.6300),c:Leotiomycetes(0.0882),o:Helotiales(0.0123),f:Myxotrichaceae(0.0017),g:Oidiodendron(0.0002)	+	d:Fungi
Zotu94	d:Fungi(1.0000),p:Ascomycota(0.6400),c:Leotiomycetes(0.0896),o:Helotiales(0.0125),f:Myxotrichaceae(0.0018),g:Oidiodendron(0.0002)	+	d:Fungi
Zotu95	d:Fungi(1.0000),p:Ascomycota(0.6900),c:Saccharomycetes(0.3105),o:Saccharomycetales(0.1397),f:Metschnikowiaceae(0.0615),g:Metschnikowia(0.0271)	+	d:Fungi
Zotu96	d:Fungi(1.0000),p:Ascomycota(0.8000),c:Saccharomycetes(0.5520),o:Saccharomycetales(0.3809),f:Metschnikowiaceae(0.2514),g:Metschnikowia(0.1659),s:Metschnikowia_borealis_SH3313675.08FU(0.0382)	+	d:Fungi,p:Ascomycota
Zotu97	d:Fungi(1.0000),p:Ascomycota(0.7700),c:Xylonomycetes(0.0770),o:Symbiotaphrinales(0.0077),f:Symbiotaphrinaceae(0.0008),g:Symbiotaphrina(0.0001),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0000)	+	d:Fungi
Zotu98	d:Fungi(1.0000),p:Ascomycota(0.8100),c:Xylonomycetes(0.2511),o:Symbiotaphrinales(0.0778),f:Symbiotaphrinaceae(0.0241),g:Symbiotaphrina(0.0075),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0023)	+	d:Fungi,p:Ascomycota
Zotu99	d:Fungi(1.0000),p:Ascomycota(0.7200),c:Xylonomycetes(0.1368),o:Symbiotaphrinales(0.0260),f:Symbiotaphrinaceae(0.0049),g:Symbiotaphrina(0.0009),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0002)	+	d:Fungi
Zotu100	d:Fungi(1.0000),p:Ascomycota(0.5800),c:Saccharomycetes(0.0928),o:Saccharomycetales(0.0148),f:Metschnikowiaceae(0.0021),g:Metschnikowia(0.0003)	+	d:Fungi
Zotu101	d:Fungi(1.0000),p:Ascomycota(0.6700),c:Leotiomycetes(0.0871),o:Helotiales(0.0113),f:Myxotrichaceae(0.0014),g:Oidiodendron(0.0002)	+	d:Fungi
